# P3 curation dispositions — the tracked join of the four worker reports
# + integrator rows (2026-08-18). One row per (block, worker); a block may
# appear twice when a handover was completed at integration (the later
# integ row supersedes the earlier SKIPPED/NEGATIVE-MATERIAL row).
# dispositions: CASES=171, COMPILE-ONLY=5, NEGATIVE-MATERIAL=1, SKIPPED=21
# KNOWN GAP (w3 cross-check): the legal lines of the contains-illegal
# literal grids (Integer/Float/Rune/String_literals) are rejected-line
# covered only; their legal-value pinning is a recorded follow-on.
block_id	worker	disposition	case_ids	note
Address_operators-1-7fb9c29a	w4	CASES	spec-examples-decl/address-op-nil-indirection/forms,spec-examples-decl/address-op-nil-indirection/deref-nil,spec-examples-decl/address-op-nil-indirection/addr-deref-nil	all legal &-operand forms + nil *x and &*x panics; gc panics on &*x as the spec requires (no tension)
Alias_declarations-2-1a9a3d08	w4	CASES	spec-examples-decl/alias-identity	-
Alias_declarations-3-d69c972f	w4	CASES	spec-examples-decl/generic-alias-set	generic alias [Go 1.24]; identical to map[string]bool
Alias_declarations-4-74451fb2	w1	CASES	spec-examples/generic-alias-own-type-param	illegal line only; the block's legal half (type A = P inside f[P any]) omitted as unneeded scaffolding. Requires go1.24+ generic aliases (toolchain is 1.26).
Allocation-1-26a175c5	w4	CASES	spec-examples-decl/allocation-new	-
An_example_package-1-d5a327de	w2	CASES	spec-examples-stmt/prime-sieve/five spec-examples-stmt/prime-sieve/eight	the spec's concurrent prime sieve; generate/filter verbatim, fmt.Print -> accumulation, bounded at k primes (noted); synchronous chain is schedule-independent
Appending_and_copying_slices-2-7f95cfda	w4	CASES	spec-examples-decl/append-forms/ints,spec-examples-decl/append-forms/interface,spec-examples-decl/append-forms/string	every asserted result checked incl. the overlapping append s4
Appending_and_copying_slices-4-820d26f7	w4	CASES	spec-examples-decl/copy-forms	n1/n2/n3 and post-states incl. overlapping copy
Arithmetic_operators-2-9bb79253	w4	CASES	spec-examples-decl/generic-dot-product/float64,spec-examples-decl/generic-dot-product/named	-
Array_types-3-e776b27a	w1	CASES	spec-examples/array-type-self-element,spec-examples/array-type-struct-cycle,spec-examples/array-type-mutual-cycle	4 invalid type decls -> 3 cases (T3/T4 are one mutual cycle; T3's illegality depends on T4, kept together per block scaffolding rule). Valid T5-T7 omitted.
Assignment_statements-2-4c295deb	w2	CASES	spec-examples-stmt/assign-forms	all four target forms incl. parenthesized (k) = <-ch
Assignment_statements-7-5f7deaa8	w4	CASES	spec-examples-decl/assign-tuple-order/exchange,spec-examples-decl/assign-tuple-order/index-then-var,spec-examples-decl/assign-tuple-order/panic-second-target,spec-examples-decl/assign-tuple-order/panic-nil-field,spec-examples-decl/assign-tuple-order/range-assign	partial-effect-before-panic pinned via recover; for i,x[i] = range with break pinned (i==0, x==[3 5 3])
Assignment_statements-8-bcd96992	w4	CASES	spec-examples-decl/slice-map-sharing/slice,spec-examples-decl/slice-map-sharing/map	fmt.Println observations returned instead of printed
Basic_interfaces-2-c4d2a811	w1	CASES	spec-examples/interface-duplicate-method,spec-examples/interface-blank-method-name	both illegal lines, split (each must be the file's only error).
Basic_interfaces-3-fb7165ac	w4	SKIPPED	-	FINDING: illegal verbatim — receiver p redeclared by parameter p (go: "p redeclared in this block"); a spec-example defect (cosmetic). Satisfaction content pinned by locker-satisfaction + embedded-readwriter
Basic_interfaces-5-0c73e0fa	w4	CASES	spec-examples-decl/locker-satisfaction	-
Basic_interfaces-6-30e0b4a6	w4	CASES	spec-examples-decl/locker-satisfaction	elided bodies realized as recorders
Break_statements-2-c25228fa	w2	CASES	spec-examples-stmt/break-label/nil-error spec-examples-stmt/break-label/item-found spec-examples-stmt/break-label/no-hit	labeled break exits switch+both loops; i,j,state retain values (112/220/34)
Calls-2-061c787e	w4	SKIPPED	-	syntax illustration (math.Atan2 needs math; pt is nil so pt.Scale would nil-deref, unasserted by the spec); method-call form pinned by point-methods/scale
Calls-3-bd483f5e	w4	CASES	spec-examples-decl/multi-value-call-chain	log.Panic realized as returned marker
Calls-4-6010d7a1	w4	CASES	spec-examples-decl/point-methods/scale	-
Channel_types-2-04dbba2f	w3	CASES	spec-examples-lexical/channel-direction-forms	chan T / chan<- float64 / <-chan int; directional views of one channel round-trip values; returns 7
Comparison_operators-2-60d7731d	w4	CASES	spec-examples-decl/untyped-bool-comparison	-
Complex_numbers-2-00dfb7ad	w1	CASES	spec-examples/complex-arg-shift,spec-examples/imag-arg-shift	both illegal lines; scaffolding keeps the spec's own `var s int = complex(1, 0)` (itself a legal spec example).
Composite_literals-10-34318a7a	w4	CASES	spec-examples-decl/composite-literal-elision	all seven elision forms incl. named-pointer element type PPoint and struct map keys
Composite_literals-11-e14616e7	w2	CASES	spec-examples-stmt/complit-keyed-examples	primes (incl. the spec's 9), vowels rune keys, filter == stated array, map literal lookups; verbatim literals
Composite_literals-2-0f327af4	w2	CASES	spec-examples-stmt/complit-paren-ambiguity/match spec-examples-stmt/complit-paren-ambiguity/no-match	both parenthesization forms, equal outcomes
Composite_literals-3-5424b977	w4	CASES	spec-examples-decl/composite-literal-pointer	-
Composite_literals-4-56653998	w2	CASES	spec-examples-stmt/complit-struct-zero	zero value for line.q.x pinned (bits 0)
Composite_literals-5-3a437841	w4	CASES	spec-examples-decl/composite-literal-pointer	-
Composite_literals-6-98e6a258	w2	CASES	spec-examples-stmt/complit-empty-slice-vs-new	&[]int{} non-nil empty vs new([]int) nil
Composite_literals-7-ee492ce1	w2	CASES	spec-examples-stmt/complit-array-lengths	lens 10/6/2 + zero fill of missing elements
Composite_literals-9-bb382c43	w2	CASES	spec-examples-stmt/complit-slice-is-array	slice literal == tmp := [n]T{...}; tmp[0:n] (len/cap/elements agree)
Constant_declarations-2-b9b19c33	w4	CASES	spec-examples-decl/const-decl-forms	-
Constant_declarations-3-7c6d4b28	w4	CASES	spec-examples-decl/weekday-iota	-
Constant_expressions-1-665fef14	w1	CASES	spec-examples/const-shift-overflows-int32,spec-examples/const-shift-typed-float	the 2 illegal lines (f, g); rest of the block is legal.
Constant_expressions-2-93cb2295	w4	CASES	spec-examples-decl/const-complex/untyped,spec-examples-decl/const-complex/typed	supporting consts c/Theta from the section's earlier block; ASCII names c2/theta noted
Constant_expressions-3-8a328e0d	w4	CASES	spec-examples-decl/const-huge-shift	1<<100 exact constant arithmetic; Four int8 == 4
Constant_expressions-4-f8ad9971	w1	CASES	spec-examples/const-division-by-zero	3.14 / 0.0 wrapped as const initializer (block context is constant expressions).
Constant_expressions-6-dc29f1de	w1	CASES	spec-examples/const-complement-uint8	uint8(^1): "constant -2 overflows uint8". Other 4 lines legal.
Continue_statements-2-69d844a3	w2	CASES	spec-examples-stmt/continue-label	labeled continue abandons rest of row; row[x] writes through; positional encoding pins untouched tail
Conversions-2-afcd996f	w4	CASES	spec-examples-decl/conversion-parse-forms	partial: executable disambiguations pinned (incl. <-chan int(c) as receive and unambiguous func() int(x)); pure parse annotations (*Point(p), func()(x)) noted only
Conversions-3-aa36f537	w1	CASES	spec-examples/const-conversion-float-to-int,spec-examples/const-conversion-float-to-string	both illegal lines; "not a constant" comment lines (string([]byte{'a'}), (*int)(nil)) are legal expressions, not converted.
Conversions-4-e2ad0265	w4	CASES	spec-examples-decl/generic-conversion/f64,spec-examples-decl/generic-conversion/f32	per-instantiation constant conversion; float32 rounding of 1.1 visible
Conversions-5-b1bcceec	w4	CASES	spec-examples-decl/struct-tag-conversion	tag-ignoring struct identity incl. nested tagged struct; nil-pointer conversion at package init
Conversions_from_slice_to_array_or_array_pointer-1-2861064a	w4	CASES	spec-examples-decl/slice-to-array/ok-forms,spec-examples-decl/slice-to-array/short-array,spec-examples-decl/slice-to-array/short-array-ptr,spec-examples-decl/slice-to-array/nil-to-longer-ptr	aliasing through array pointer + all three panic forms
Conversions_to_and_from_a_string_type-1-7a8a44d8	w4	CASES	spec-examples-decl/string-from-bytes	-
Conversions_to_and_from_a_string_type-2-79d2a1ba	w4	CASES	spec-examples-decl/string-from-runes	-
Conversions_to_and_from_a_string_type-3-5710b646	w3	CASES	spec-examples-lexical/string-to-bytes	all five lines' byte values pinned incl. []byte("") non-nil (prose assertion — held in gc) and 4-byte UTF-8 of U+1F30F; returns 31
Conversions_to_and_from_a_string_type-4-e4dd55f2	w3	CASES	spec-examples-lexical/string-to-runes	all five lines' code points pinned (0x767d/0x9d6c/0x7fd4, 0x266b/0x266c, 0x1f310); non-nil NOT pinned for []rune("") — prose asserts it only for byte slices; returns 31
Conversions_to_and_from_a_string_type-5-e2a4cb7a	w4	CASES	spec-examples-decl/string-from-int	string(-1) == "\ufffd" CONFIRMED legal + spec-conformant in gc (vet flags it; compile does not)
Defer_statements-2-1f99afbe	w4	CASES	spec-examples-decl/defer-order-named-result/loop-order,spec-examples-decl/defer-order-named-result/named-result	LIFO 3210 + named-result mutation to 42; lock/unlock prose line not executable, noted
Embedded_interfaces-1-bf873c1a	w4	CASES	spec-examples-decl/embedded-readwriter	union method set incl. duplicated Close through both embeddings
Embedded_interfaces-2-0b6490ef	w1	CASES	spec-examples/embedded-method-signature-conflict	needs Reader from the preceding spec block as scaffolding (included). gc reports "duplicate method Close" for the signature conflict.
Errors-1-cf107147	w4	COMPILE-ONLY	spec-examples-decl/compile-only-forms	package-level redeclaration of error is legal and shadows the universe identifier — pinned as an accepted form
Errors-2-011342e6	w4	COMPILE-ONLY	spec-examples-decl/compile-only-forms	error-last signature convention; File stand-in + stub body added
Expression_statements-3-7bc85688	w1	CASES	spec-examples/builtin-len-statement	len("foo") in statement context; gc frames the rejection as `len("foo") (constant 3 of type int) is not used` - same rule (builtins not permitted in statement context), different wording than the spec's.
Expression_switches-2-8d84f981	w2	CASES	spec-examples-stmt/expr-switch-forms/tag-first-list spec-examples-stmt/expr-switch-forms/tag-second-list spec-examples-stmt/expr-switch-forms/tag-default spec-examples-stmt/expr-switch-forms/tag-negative spec-examples-stmt/expr-switch-forms/no-expr-negative spec-examples-stmt/expr-switch-forms/no-expr-positive spec-examples-stmt/expr-switch-forms/first-match-f1 spec-examples-stmt/expr-switch-forms/first-match-f2 spec-examples-stmt/expr-switch-forms/first-match-f3 spec-examples-stmt/expr-switch-forms/first-match-none	default-clause-first order irrelevance; missing expression means true; first-match-wins
Floating-point_literals-2-152a0d95	w1	CASES	spec-examples/float-lit-hex-no-mantissa-digits,spec-examples/float-lit-p-exponent-decimal,spec-examples/float-lit-hex-e-exponent,spec-examples/float-lit-underscore-before-dot,spec-examples/float-lit-underscore-after-dot,spec-examples/float-lit-underscore-before-e,spec-examples/float-lit-underscore-after-e,spec-examples/float-lit-trailing-underscore	all 8 invalid lines converted. gc words 0x.p1 as "hexadecimal literal has no digits" (spec: mantissa has no digits) - same rule.
Floating_point_operators-1-72956e18	w2	CASES	spec-examples-stmt/fma-forced-rounding/conv-add spec-examples-stmt/fma-forced-rounding/plus-assign spec-examples-stmt/fma-forced-rounding/temp-conv spec-examples-stmt/fma-forced-rounding/forms-agree	FORCED half only (explicit float64() conversion must round; all 3 forms agree, value 0.0 discriminates vs fused -2^-54); FMA-ALLOWED half is implementation latitude, already tripwired at floats/fma-shape — deliberately not strict-pinned here
For_clause-2-1acd7fef	w2	CASES	spec-examples-stmt/for-clause	f sees exactly 0..9 in order (count/sum/positional trace)
For_clause-3-d61c1c53	w2	CASES	spec-examples-stmt/for-forms-equiv/cond-pair spec-examples-stmt/for-forms-equiv/infinite-pair	both stated equivalences; `for ; cond ; {` kept literally (not gofmt-normalized — the syntax IS the point; corpus has no gofmt gate)
For_clause-4-9af0c9d2	w4	CASES	spec-examples-decl/loopvar-per-iteration	Go 1.22 per-iteration variables: closures observe 1 3 5 (pre-1.22: 6 6 6); println realized as recorder
For_clause-5-ceac0281	w3	CASES	spec-examples-lexical/for-clause-loopvar	Go 1.22 per-iteration loop variable: closures observe 1,3,5 -> returns 135 (spec's println outputs as digits)
For_clause-6-930576d8	w3	SKIPPED	-	pre-Go-1.22 output exhibit (6 6 6, shared loop variable) — superseded semantics at the campaign's Go 1.26 language pin; version skew is divergence-ledger material (campaign 4.4), not corpus
For_condition-1-fcb62f60	w2	CASES	spec-examples-stmt/for-condition/doubles spec-examples-stmt/for-condition/zero-iter spec-examples-stmt/for-condition/boundary	condition checked before each iteration incl. zero-iteration entry
For_range-3-065c311b	w1	CASES	spec-examples/range-int-overflows-uint8,spec-examples/range-float-constant	both invalid snippets of this 73-line block; the rest is legal and covered by other P3 lanes.
Function_declarations-2-6d67373d	w1	CASES	spec-examples/missing-return-terminating-stmt	spec's IndexRune verbatim; gc says "missing return".
Function_declarations-3-9873b045	w4	CASES	spec-examples-decl/generic-min	package-level min shadows the predeclared builtin
Function_declarations-4-d7af4440	w4	SKIPPED	-	body-less func "implemented externally" needs assembly/linker support; cannot build in the one-file corpus
Function_literals-2-a0dfaa1c	w4	CASES	spec-examples-decl/function-literals	-
Function_literals-3-0b0ad6e6	w4	CASES	spec-examples-decl/function-literals	directly-invoked literal; ACK/replyChan realized
Function_types-2-90bee491	w4	COMPILE-ONLY	spec-examples-decl/compile-only-forms	all eight function-type forms as blank package vars; T realized as Tfn
General_interfaces-2-46b76d35	w1	CASES	spec-examples/tilde-defined-type,spec-examples/tilde-interface	both illegal terms; ~[]byte legal line omitted (would not compile alongside without hiding which error fired).
General_interfaces-3-cbe6a5b5	w4	CASES	spec-examples-decl/general-interface-float	-
General_interfaces-4-51fa039a	w1	CASES	spec-examples/constraint-term-type-parameter,spec-examples/constraint-union-tilde-type-parameter,spec-examples/constraint-overlapping-terms	3 illegal lines ("Given a type parameter P" realized as func f[P any, _ interface{...}]); 4th line (float32|Float) is legal per spec, omitted.
