# GoLean negative-corpus (compile-rejection) baseline
# recorded: 2026-08-18  commit: f68a4d86+ (spec-truth P3 slice 2)  oracle: go build (rejection) + frontend fail-closed
# manifest_cases: 390  pass: 390  fail: 0
# Columns: result<TAB>id<TAB>stage (sorted by id); detail omitted (churns).
# Regression = any flip/stage change vs this file (scripts/coverage-baseline-diff
# --baseline baselines/negative-full.tsv artifacts/coverage/negative-latest.tsv).
# Re-pin reason: 79 NEW ids, no other change — the spec-examples negative
# tranche (P3, mechanism 4.2): all 35 contains-illegal spec blocks converted
# (76 cases, worker-built, every expected_substring from actual go build
# stderr) + 3 integration handovers (two goto negatives the classifier had
# misfiled as runnable, one selector-promotion case). Every pre-existing id
# keeps its result and stage; all 390 PASS.
result	id	stage
PASS	arrays/array-compare-different-length	-
PASS	arrays/array-index-float	-
PASS	arrays/array-length-mismatch-assign	-
PASS	arrays/array-literal-too-many	-
PASS	arrays/array-negative-key	-
PASS	bools/bool-add	-
PASS	bools/bool-int-assign	-
PASS	bools/bool-order	-
PASS	bools/generic-bool-add	-
PASS	bools/generic-bool-order	-
PASS	bools/generic-mixed-bool-int-and	-
PASS	bools/if-non-bool	-
PASS	bools/not-int	-
PASS	builtins/append-first-nonslice	-
PASS	builtins/append-string-no-ellipsis	-
PASS	builtins/append-string-to-rune-slice	-
PASS	builtins/clear-generic-any	-
PASS	builtins/clear-non-map-slice	-
PASS	builtins/clear-too-few-args	-
PASS	builtins/clear-too-many-args	-
PASS	builtins/close-non-channel	-
PASS	builtins/copy-dst-nonslice	-
PASS	builtins/copy-src-wrong-element	-
PASS	builtins/copy-string-to-int-slice	-
PASS	builtins/copy-too-few-args	-
PASS	builtins/copy-too-many-args	-
PASS	builtins/delete-generic-any	-
PASS	builtins/delete-generic-wrong-key	-
PASS	builtins/len-int	-
PASS	builtins/make-non-make-type	-
PASS	builtins/make-slice-float-len	-
PASS	builtins/max-slice	-
PASS	builtins/max-unordered	-
PASS	builtins/min-bool	-
PASS	builtins/min-generic-unordered	-
PASS	builtins/min-mixed-types	-
PASS	builtins/min-no-args	-
PASS	builtins/new-nil-expr	-
PASS	builtins/new-no-args	-
PASS	builtins/new-too-many-args	-
PASS	channels/assign-receive-to-send	-
PASS	channels/assign-send-to-receive	-
PASS	channels/close-receive-only	-
PASS	channels/make-channel-float-len	-
PASS	channels/make-channel-too-many-args	-
PASS	channels/make-channel-wrong-len-type	-
PASS	channels/receive-non-channel	-
PASS	channels/receive-send-only	-
PASS	channels/select-multiple-defaults	-
PASS	channels/select-non-communication	-
PASS	channels/select-receive-arity	-
PASS	channels/send-non-channel	-
PASS	channels/send-receive-only	-
PASS	channels/send-wrong-element	-
PASS	comparisons/array-slice-element	-
PASS	comparisons/struct-slice-field	-
PASS	complex/complex-mismatched-typed-args	-
PASS	complex/complex-modulo	-
PASS	complex/complex-nonfloat-arg	-
PASS	complex/complex-order	-
PASS	complex/complex-to-float	-
PASS	complex/complex-to-int	-
PASS	complex/complex-too-few-args	-
PASS	complex/complex-too-many-args	-
PASS	complex/generic-complex-bitwise	-
PASS	complex/generic-complex-modulo	-
PASS	complex/generic-complex-order	-
PASS	complex/generic-complex-to-float	-
PASS	complex/generic-imag-type-parameter	-
PASS	complex/generic-real-type-parameter	-
PASS	complex/imag-typed-noncomplex	-
PASS	complex/real-typed-noncomplex	-
PASS	constants/complex64-imag-overflow	-
PASS	constants/const-divide-zero	-
PASS	constants/const-float-truncation	-
PASS	constants/const-negative-shift	-
PASS	constants/const-overflow-byte	-
PASS	constants/duplicate-const	-
PASS	constants/float-array-bound	-
PASS	constants/grouped-implicit-arity	-
PASS	constants/int8-min-overflow	-
PASS	constants/iota-outside-const	-
PASS	constants/len-slice-not-constant	-
PASS	constants/negative-array-bound	-
PASS	constants/rune-constant-overflow-byte	-
PASS	constants/string-const-index-bounds	-
PASS	constants/string-const-to-rune	-
PASS	constants/string-slice-not-constant	-
PASS	constants/typed-const-assign	-
PASS	constants/typed-untyped-float-add	-
PASS	constants/uint-negative-constant	-
PASS	control-flow/break-label-non-enclosing	-
PASS	control-flow/break-outside	-
PASS	control-flow/continue-outside	-
PASS	control-flow/continue-switch-label	-
PASS	control-flow/duplicate-label	-
PASS	control-flow/duplicate-switch-case	-
PASS	control-flow/duplicate-type-switch-case	-
PASS	control-flow/expressionless-switch-case-non-bool	-
PASS	control-flow/fallthrough-final	-
PASS	control-flow/fallthrough-not-final	-
PASS	control-flow/fallthrough-outside-switch	-
PASS	control-flow/fallthrough-type-switch	-
PASS	control-flow/for-condition-non-bool	-
PASS	control-flow/goto-into-block	-
PASS	control-flow/goto-into-for-body	-
PASS	control-flow/goto-into-select-case	-
PASS	control-flow/goto-over-declaration	-
PASS	control-flow/goto-over-var-decl-block	-
PASS	control-flow/goto-undefined-label	-
PASS	control-flow/invalid-break-label	-
PASS	control-flow/invalid-continue-label	-
PASS	control-flow/multiple-defaults	-
PASS	control-flow/nested-duplicate-label	-
PASS	control-flow/switch-mismatched-case-type	-
PASS	control-flow/switch-uncomparable-case	-
PASS	control-flow/type-switch-non-interface	-
PASS	control-flow/unused-label	-
PASS	defer/defer-append-result	-
PASS	defer/defer-len-result	-
PASS	defer/defer-non-call	-
PASS	defer/defer-receive-expression	-
PASS	floats/defined-type-mixed-add	-
PASS	floats/float-bitwise-and	-
PASS	floats/float-modulo	-
PASS	floats/float-shift	-
PASS	floats/float-to-string	-
PASS	floats/float32-constant-overflow	-
PASS	floats/generic-float-bitwise	-
PASS	floats/generic-float-modulo	-
PASS	floats/generic-float-shift	-
PASS	floats/generic-mixed-int-float-modulo	-
PASS	floats/implicit-int-float	-
PASS	functions/array-func-compare	-
PASS	functions/call-nonfunction	-
PASS	functions/duplicate-parameter	-
PASS	functions/func-compare	-
PASS	functions/struct-func-compare	-
PASS	functions/wrong-arity	-
PASS	generics/alias-method-receiver	-
PASS	generics/alias-missing-instantiation	-
PASS	generics/alias-noncomparable-argument	-
PASS	generics/alias-wrong-arity	-
PASS	generics/bad-type-argument	-
PASS	generics/compare-unconstrained	-
PASS	generics/composite-literal-mixed-underlying	-
PASS	generics/empty-type-set	-
PASS	generics/field-select-type-parameter	-
PASS	generics/generic-method	-
PASS	generics/higher-order-inference-impossible	-
PASS	generics/inference-mismatch	-
PASS	generics/instantiation-cycle	-
PASS	generics/map-key-unconstrained	-
PASS	generics/missing-method-constraint	-
PASS	generics/noncomparable-constraint	-
PASS	generics/overlapping-type-terms	-
PASS	generics/partial-instantiation-no-target	-
PASS	generics/recursive-comparable-noncomparable-type	-
PASS	generics/recursive-constraint-method-mismatch	-
PASS	generics/return-uninstantiated-generic-function	-
PASS	generics/tilde-defined-type	-
PASS	generics/type-argument-count	-
PASS	generics/type-set-value	-
PASS	generics/uninstantiated-function-value	-
PASS	imports/package-mismatch	-
PASS	imports/unused-import	-
PASS	init/call-init	-
PASS	init/duplicate-global	-
PASS	init/init-return-value	-
PASS	init/init-with-params	-
PASS	init/initialization-cycle	-
PASS	interfaces/ambiguous-promoted-method-interface	-
PASS	interfaces/duplicate-method	-
PASS	interfaces/embedded-conflicting-method	-
PASS	interfaces/error-method-params	-
PASS	interfaces/error-nonstring-method	-
PASS	interfaces/impossible-type-assertion	-
PASS	interfaces/interface-field	-
PASS	interfaces/interface-method-type-params	-
PASS	interfaces/type-assert-non-interface	-
PASS	interfaces/type-switch-multi-binding-concrete	-
PASS	ints/implicit-defined-assign	-
PASS	ints/int16-constant-overflow	-
PASS	ints/int8-constant-overflow	-
PASS	ints/mixed-defined-add	-
PASS	ints/mixed-defined-compare	-
PASS	ints/mixed-signed-unsigned-bitwise	-
PASS	ints/shift-float-count	-
PASS	ints/uint16-constant-overflow	-
PASS	ints/uint8-negative-constant	-
PASS	maps/assign-wrong-value-type	-
PASS	maps/delete-non-map	-
PASS	maps/delete-too-few-args	-
PASS	maps/delete-too-many-args	-
PASS	maps/delete-wrong-key-type	-
PASS	maps/duplicate-const-expression-key	-
PASS	maps/duplicate-interface-constant-key	-
PASS	maps/duplicate-key	-
PASS	maps/duplicate-string-key	-
PASS	maps/duplicate-typed-const-key	-
PASS	maps/func-key	-
PASS	maps/make-map-too-many-args	-
PASS	maps/map-array-element-assign	-
PASS	maps/map-compare	-
PASS	maps/map-field-assign	-
PASS	maps/map-index-wrong-key-type	-
PASS	maps/map-key-map	-
PASS	maps/slice-key	-
PASS	methods/ambiguous-promoted-method	-
PASS	methods/duplicate-method-name	-
PASS	methods/interface-method-expression-arity	-
