# id	subject	args	expected_status	expected_reason	features
# BUG-068 pins (W4.3): locals shadowing NAMED RESULTS. Green rows =
# the renamed lowering; range-clause stays RED BY DESIGN (outside the
# rename set, refuses — never aliases).
enterjoint-shape	enterJointShape	-	ok	-	scoping,shadowing,named-results,closures,switch
bare-return	shadowThenBareReturn	-	ok	-	scoping,shadowing,named-results,multi_result
short-decl	shadowShortDecl	-	ok	-	scoping,shadowing,named-results,short_decl
deferred-write	shadowWithDeferredWrite	-	ok	-	scoping,shadowing,named-results,defer
range-clause	shadowInRangeClause	-	ok	-	scoping,shadowing,named-results,range
closure-write	shadowCapturedWrite	-	ok	-	scoping,shadowing,named-results,closures
closure-read	shadowCapturedRead	-	ok	-	scoping,shadowing,named-results,closures
loopvar-capture	shadowLoopVarCaptured	-	ok	-	scoping,shadowing,named-results,closures,loops
ts-guard	tsGuardShadow	-	ok	-	scoping,shadowing,named-results,type_switch
commaok-map	commaOkMapShadow	-	ok	-	scoping,shadowing,named-results,maps
commaok-recv	commaOkRecvShadow	-	ok	-	scoping,shadowing,named-results,channels
commaok-assert	commaOkAssertShadow	-	ok	-	scoping,shadowing,named-results,interfaces
