# detector-soundness PROBE manifest — the BUG-080 family U4-KIND re-run under Q-U4RESIDUAL (A) (scripts/detector-soundness --manifest); rows identical to docs/evidence/2026-09-02_detector-soundness/probes-u4kind.tsv (same go_dir, the tracked source) except the `why` of the four rows whose expected cell the ruling moves.
# id	go_dir	function	args	expected_status	features	expected_reason	lane	why	params
probe/u4kind/mu-copy-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuCopyVsLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: copy (main) vs Lock/Unlock (child); expect RED (Lock's CAS is an atomic write)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-lock-vs-copy	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuLockVsCopy	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: roles swapped — copy (child) vs Lock/Unlock (main); expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-overwrite-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuOverwriteVsLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: overwrite vs Lock/Unlock; expect RED (U4-1 shape)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-copy-vs-unlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuCopyVsUnlock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex: copy vs Unlock ONLY (owner-free unlock after a pre-spawn Lock); expect RED (Unlock's atomic Add)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-contend	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuContend	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: two goroutines contend on one mutex; expect agree-DRF (atomic vs atomic never conflicts)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-siblings-under-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuSiblingsUnderLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: sibling fields written under the lock from two goroutines; expect agree-DRF (locPrefix check i)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-disjoint-prims	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuDisjointPrims	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: two disjoint primitives in one struct; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u4kind/mu-sibling-beside-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kMuSiblingBesideLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	Mutex CONTROL: the U4-5 disjoint-field-vs-lock control kept; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-copy-vs-rlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwCopyVsRLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: copy vs RLock/RUnlock; was expect GREEN (one plain rw.w read per op) — under Q-U4RESIDUAL (A) the subject REFUSES THROUGH THE RUnlock (unlock write-like; the copy is unordered with both ops — this shape never isolated the lock op; the isolated shape is probes/u4gomem/rw-copy-vs-rlock-only, agree-DRF): expect over-refusal BY DESIGN	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-rlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsRLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs RLock/RUnlock; expect RED (U4-3 shape)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-copy-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwCopyVsLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: copy vs write-Lock/Unlock; was expect GREEN (read/read) — under Q-U4RESIDUAL (A) refuses THROUGH THE Unlock (write-like; isolated lock-only shape: probes/u4gomem/rw-copy-vs-lock-only, agree-DRF): expect over-refusal BY DESIGN	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs write-Lock/Unlock; expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-rlock-vs-overwrite	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwRLockVsOverwrite	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: roles swapped — overwrite (child) vs RLock/RUnlock (main); expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-runlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsRUnlock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs RUnlock ONLY; expect RED (RUnlock's plain read of rw.w)	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-overwrite-vs-unlock	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwOverwriteVsUnlock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex: overwrite vs write-Unlock ONLY; expect RED	width=4,sites=32,cap=64,work=2000000
probe/u4kind/rw-contend	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kRwContend	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	RWMutex CONTROL: a reader and a writer contend; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u4kind/wg-copy-vs-add-from-0	docs/evidence/2026-09-02_detector-soundness/probes/u4kind	kWgCopyVsAddFrom0	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	WaitGroup: copy vs Add(1)-from-0/Done; was expect GREEN (sema READ vs a read) — under Q-U4RESIDUAL (A) the counter RMW is write-like: expect over-refusal BY DESIGN	width=4,sites=32,cap=64,work=2000000
