# golang/go issue metadata for the archaeology census's 370 resolvable refs
# joined from the gh snapshot (deps/issue-snapshots/, gitignored); census pin c19862e5f841
# unresolvable via the ISSUES api: 2 (47141,56010) — NOT necessarily junk:
# check the Discussions api before dismissing (audit F-5: 47141 and 56010 are the
# memory-model-rewrite and loopvar-semantics DISCUSSIONS — top-value census objects)
# snapshot rows not in the current census (retired refs): 2
number	state	closed	labels	title
113	closed	2014-12-08	FrozenDueToAge	Missing sentence from documentation and language definition
164	closed	2014-12-08	LanguageChange,FrozenDueToAge	Cannot use fields of anonymous field in struct literal
173	closed	2014-12-08	FrozenDueToAge	Spec typo of map type
186	closed	2014-12-08	LanguageChange,FrozenDueToAge	"cannot take address out of parameter" when using named return values and anonymous functions
189	closed	2014-12-08	FrozenDueToAge	typo in go_spec ('#' comment syntax)
357	closed	2014-12-08	LanguageChange,FrozenDueToAge	map[interface{}] issue
395	closed	2021-04-21	LanguageChange,Proposal-Accepted,NeedsFix,FrozenDueToAge	spec: use (*[4]int)(x) to convert slice x into array pointer
438	closed	2014-12-08	Documentation,FrozenDueToAge	IEEE 754 Special Values
451	closed	2014-12-08	FrozenDueToAge	reflect: method lookup using anonymous field succeeds, but Call crashes
457	closed	2014-12-08	FrozenDueToAge	Language Specification error
528	closed	2014-12-08	LanguageChange,FrozenDueToAge	drop requirement for parenthesization of func return type
583	closed	2014-12-08	LanguageChange,FrozenDueToAge	allow new goroutines to run during init
658	closed	2014-12-08	FrozenDueToAge	spec: context type is unspecified for shifted constants in comparison expressions
697	closed	2014-12-08	FrozenDueToAge	Spec elides ';' illegally after simple statement when switch expression elided
743	closed	2014-12-08	FrozenDueToAge	an issue in GO programming language spec
770	closed	2014-12-08	FrozenDueToAge	reflect method information seems wrong
803	closed	2014-12-08	FrozenDueToAge	PointerType missing from Conversion production
891	closed	2014-12-08	FrozenDueToAge	Specification does not document behavior of len() and cap() on nil slice, map, or channel
1118	closed	2014-12-08	FrozenDueToAge	The Go Memory Model article: Obsolete section
1285	closed	2014-12-08	FrozenDueToAge	Spec references nonexistant unsafe.Maxalign
1349	closed	2014-12-08	FrozenDueToAge	cannot catch "too many operations on a closed channel" panic
1370	closed	2014-12-08	FrozenDueToAge	Effective Go panic example changes error value
1419	closed	2014-12-08	FrozenDueToAge	Sending on a closed channel should fail after 0 or ∞ times, not a finite N > 0.
1421	closed	2014-12-08	FrozenDueToAge	spec: constant specification is invalid
1445	closed	2014-12-08	Documentation,FrozenDueToAge	spec doesn't define behavior of address of local
1535	closed	2014-12-08	FrozenDueToAge	spec change: require if condition?
1543	closed	2014-12-08	FrozenDueToAge	go_spec: ref to #Package_clauses instead of #Package_clause
1551	closed	2014-12-08	FrozenDueToAge	spec: clarify meaning of embedded unexported fields/methods
1612	closed	2014-12-08	Documentation,FrozenDueToAge	spec: require local variables to be used
1665	closed	2014-12-08	FrozenDueToAge	go_spec: missing parentheses in "Handling panics" example
1707	closed	2014-12-08	FrozenDueToAge	should named []byte type be convertible directly to string?
1708	closed	2014-12-08	FrozenDueToAge	const ui uint = 5; var a int = 2.0 << ui;
1713	closed	2014-12-08	Documentation,FrozenDueToAge	spec: clarify range over nil values
1717	closed	2014-12-08	FrozenDueToAge	spec: clarify type signature of append
1764	closed	2014-12-08	FrozenDueToAge	spec: specify behavior of x := int8(-128); x /= -1
1776	closed	2014-12-08	FrozenDueToAge	net connections cannot be used inside init() functions
1786	closed	2014-12-08	FrozenDueToAge	doc: missing closing tag in go_spec.html
1793	closed	2014-12-08	FrozenDueToAge	Conversion from unsafe.Pointer to types other than uintptr
1797	closed	2014-12-08	FrozenDueToAge	spec: link to Calls from method set discussion
1814	closed	2014-12-08	Documentation,FrozenDueToAge	spec: disallow recursive embedded interfaces
1821	closed	2014-12-08	FrozenDueToAge	Go spec notation, Production doesn't permit empty body
1865	closed	2014-12-08	FrozenDueToAge	spec should define behavior of dereferencing nil
1867	closed	2014-12-08	FrozenDueToAge	Specification problem with the symbol "..."
1936	closed	2014-12-08	Documentation,FrozenDueToAge	go spec: language for append() built-in is contradictory
1940	closed	2014-12-08	FrozenDueToAge	go spec: scope for short variable declarations is undefined
1941	closed	2014-12-08	FrozenDueToAge	Confusing sentence in doc/go_mem.html
1943	closed	2014-12-08	Documentation,FrozenDueToAge	go spec: unsafe.Sizeof (Alignof) should return uintptr
2001	closed	2014-12-08	FrozenDueToAge	cgo: GOMAXPROCS deadlock
2112	closed	2014-12-08	FrozenDueToAge	garbage collector doesn't run during init
2246	closed	2014-12-08	LanguageChange,FrozenDueToAge	language spec: close() should be disallowed on receive-only channels
2252	closed	2014-12-08	FrozenDueToAge	spec unclear on defer semantics
2274	closed	2014-12-08	LanguageChange,FrozenDueToAge	append([]byte, string)
2277	closed	2014-12-08	FrozenDueToAge	memory model bug
2280	closed	2014-12-08	LanguageChange,FrozenDueToAge	spec: receiver-curried method expressions
2353	closed	2014-12-08	FrozenDueToAge	spec should define behavior of close on a nil channel
2377	closed	2014-12-08	FrozenDueToAge	Specs: "Variable declarations" don't mention complex constants type.
2547	closed	2014-12-08	Documentation,FrozenDueToAge	website: update notable articles to Go 1 and move content to golang.org
2561	closed	2014-12-08	LanguageChange,FrozenDueToAge	spec: determine when bool is ideal bool
2568	closed	2014-12-08	FrozenDueToAge	spec: conversions inconsistent about trailing comma
2620	closed	2014-12-08	FrozenDueToAge	Spec does not explain comparing pointers to zero-sized objects
2789	closed	2014-12-08	FrozenDueToAge	cmd/gc: inaccurate ideal float comparison
2803	closed	2014-12-08	FrozenDueToAge	spec: fix map key description
2825	closed	2014-12-08	FrozenDueToAge	spec: clarify blocking / racing behavior of close on a channel
2870	closed	2014-12-08	FrozenDueToAge	doc: list of primes contains a non-prime
2916	closed	2014-12-08	FrozenDueToAge	spec: disallow field and method with same name
3031	closed	2014-12-08	FrozenDueToAge	spec: define comparison of struct with _ fields
3338	closed	2014-12-08	FrozenDueToAge	Old documentation for unsafe in the specification
3635	closed	2014-12-08	FrozenDueToAge	spec: revise embedded field description
3763	closed	2014-12-08	FrozenDueToAge	spec: inconsistent description in "Qualified identifiers" section
3779	closed	2014-12-08	FrozenDueToAge	spec: x.f for nil x causes runtime panic, is not illegal
3814	closed	2014-12-08	FrozenDueToAge	spec: error in http://golang.org/ref/spec#Constant_expressions section
3852	closed	2014-12-08	Documentation,FrozenDueToAge	spec: evaluation order in assignments return statements
4018	closed	2014-12-08	Documentation,FrozenDueToAge	spec: "[]byte is like string" is apparently too precise
4039	closed	2014-12-08	FrozenDueToAge	doc: ref/mem example explanation shouldn't imply atomic string assignment
4109	closed	2014-12-08	LanguageChange,Documentation,FrozenDueToAge	spec: spec is incorrect about the requirement for parentheses around the type in a conversion
4123	closed	2014-12-08	FrozenDueToAge	spec: inconsistent about allowed string conversions
4142	closed	2014-12-08	FrozenDueToAge	spec: does append use memmove like copy?
4231	closed	2014-12-08	LanguageChange,FrozenDueToAge	spec: spec demands runtime error for index range errors
4253	closed	2014-12-08	FrozenDueToAge	spec: wording about nil maps is confusing
4324	closed	2014-12-08	FrozenDueToAge	Minor wording issue in the spec
4398	closed	2014-12-08	FrozenDueToAge	spec: typed floating point constant does not match compiler behaviour
4400	closed	2014-12-08	FrozenDueToAge	spec does not match compiler output on constant evaluation
4441	closed	2014-12-08	FrozenDueToAge	spec: selector example incorrectly states automatic dereference
4450	closed	2014-12-08	FrozenDueToAge	spec: when must parameter names be identical?
4456	closed	2014-12-08	FrozenDueToAge	incorrect link in "The Go Specification"
4457	closed	2014-12-08	FrozenDueToAge	spec: should (T).foo be a valid method expression?
4462	closed	2014-12-08	FrozenDueToAge	spec: go/defer of builtin functions unspecified
4472	closed	2014-12-08	FrozenDueToAge	spec: spec does not exclude impossible type switches and type assertions.
4479	closed	2014-12-08	FrozenDueToAge	spec: BuiltinCall section contradicts itself
4482	closed	2014-12-08	FrozenDueToAge	spec: Paragraph about type{} composite literals in if/switch/for conditions could be clearer (current description doesn't match gc's behavior)
4486	closed	2016-11-18	FrozenDueToAge	spec: various cleanups
4496	closed	2014-12-08	FrozenDueToAge	spec: permit parenthesized types for receiver types
4524	closed	2015-07-30	Documentation,FrozenDueToAge	spec: multiple equal integer constant switch case values should be illegal
4573	closed	2014-12-08	FrozenDueToAge	spec: define f(g()) not allowed when g() returns nothing
4586	closed	2014-12-08	LanguageChange,FrozenDueToAge	spec: spec does not disallow const, type, or var named init
4602	closed	2014-12-08	FrozenDueToAge	spec: s/char_lit/rune_lit/ ?
4605	closed	2014-12-08	FrozenDueToAge	spec: note func conversion 'restriction' closer to definition
4612	closed	2014-12-08	FrozenDueToAge	spec: disallow a, a := 1, 2
4644	closed	2014-12-08	FrozenDueToAge	spec: (non?)evaluation of operand is unclear when ranging over pointer-to-array type
4648	closed	2014-12-08	FrozenDueToAge	spec: order of initialization needs more detail
4653	closed	2014-12-08	FrozenDueToAge	spec: Spec doesn't say that CommCases don't allow expressions in front of :=
4679	closed	2014-12-08	FrozenDueToAge	spec: allow P(x) with type P unsafe.Pointer
4682	closed	2014-12-08	FrozenDueToAge	spec: cap cannot be applied to nil map
4774	closed	2014-12-08	FrozenDueToAge	spec: panic description is not quite right
4793	closed	2014-12-08	Documentation,FrozenDueToAge	spec: result of comparison should always be untyped bool
4880	closed	2014-12-08	FrozenDueToAge	cmd/gc: wrong error message for shift expression
4881	closed	2014-12-08	FrozenDueToAge	gccgo: incorrect error message for shift expression
4883	closed	2014-12-08	Documentation,FrozenDueToAge	spec: partially contradictory rule regarding shift typing
4905	closed	2014-12-08	Documentation,FrozenDueToAge	spec: unsafe.Offsetof underspecified
4913	closed	2014-12-08	Documentation,FrozenDueToAge	spec: type of "foo"[i:j] is unclear
4923	closed	2014-12-08	FrozenDueToAge	spec: fallthrough not allowed in final case
4976	closed	2014-12-08	FrozenDueToAge	spec: define that circular imports are illegal
5069	closed	2022-12-14	Documentation,FrozenDueToAge	spec: Document rules for recursive type and other self-referential decls
5083	closed	2024-12-30	Documentation,NeedsFix,FrozenDueToAge,FixPending	spec: reference-like properties of channels, slices, and maps not well specified
5180	closed	2014-12-08	FrozenDueToAge	spec: clarify that append will only replace the slice if  the capacity is not large enough
5425	closed	2014-12-08	FrozenDueToAge	spec: a "bare" return is an error if it appears within a hole in the scope of the named return parameters
5430	closed	2014-12-08	FrozenDueToAge	spec: error in Constant expressions
5434	closed	2014-12-08	FrozenDueToAge	Spec is inconsistent when using "up to"
5456	closed	2014-12-08	FrozenDueToAge	spec: Method value commentary typo
5561	closed	2014-12-08	Documentation,FrozenDueToAge	website: Advertise sub-repo packages
5604	closed	2014-12-08	FrozenDueToAge	spec: Receive operator: slightly confusing wording about receive from closed channel
5682	closed	2014-12-08	FrozenDueToAge	Spec clarification on named vs. unnamed types
5704	closed	2014-12-08	FrozenDueToAge	cmd/gc: disagrees with spec in result of []byte("")
5725	closed	2014-12-08	Documentation,FrozenDueToAge	doc: mention labelled break/continue statements in Effective Go
5769	closed	2014-12-08	Documentation,FrozenDueToAge	spec: method selectors do not auto-dereference
5818	closed	2014-12-08	Documentation,FrozenDueToAge	spec: be clear that 'make' creates an underlying array
5862	closed	2014-12-08	Documentation,FrozenDueToAge	If the "m" definition should be move to the next example place? It confuses me currently.-------...
5911	closed	2014-12-08	FrozenDueToAge	spec: say that chan is safe for concurrent access
5951	closed	2014-12-08	FrozenDueToAge	spec: Slicing a nil slice from 0:0 should not panic
5952	closed	2014-12-08	FrozenDueToAge	spec: tweak wording in Constants section
6006	closed	2014-12-08	Documentation,FrozenDueToAge	spec: conflicting/unclear rules about assignments to _
6102	closed	2014-12-08	LanguageChange,FrozenDueToAge	spec: range should not require a variable.
6227	closed	2014-12-08	FrozenDueToAge	document mistake
6242	closed	2014-12-08	FrozenDueToAge	spec: clarify the guarantees for HB behaviour of buffered chans
6321	closed	2014-12-08	Documentation,FrozenDueToAge	doc: web site needs re-organization, should mention more external resources
6358	closed	2014-12-08	Documentation,FrozenDueToAge	spec: be clear about unsafe.Pointer being a pointer
6398	closed	2015-07-30	Documentation,FrozenDueToAge	spec: switch with no value uses bool rather than untyped bool
6604	closed	2014-12-08	Documentation,FrozenDueToAge	spec: be clear about the meaning of _ methods in interfaces
6703	closed	2014-12-08	Documentation,FrozenDueToAge	spec: section on variable initialization is unclear
6858	closed	2016-10-04	LanguageChange,FrozenDueToAge	spec: field tags have to be identical when casting
6977	closed	2019-11-13	LanguageChange,v2,Proposal,Proposal-Accepted,NeedsDecision,FrozenDueToAge	spec: allow embedding overlapping interfaces
7003	closed	2014-12-08	FrozenDueToAge	spec: broken link to type identity
7011	closed	2014-12-08	FrozenDueToAge	spec: wrong complex value (typo) in example
7073	closed	2014-12-08	Documentation,FrozenDueToAge	spec: clarify what gets passed to a variadic function when the call has no arguments
7137	closed	2014-12-08	Documentation,FrozenDueToAge	spec: evaluation order and initialization order specs are in contradiction
7192	closed	2014-12-08	Documentation,FrozenDueToAge	spec: write rules for safe use of unsafe.Pointer and uintptr
7386	closed	2014-12-08	FrozenDueToAge	gccgo: implementation of len(x) does not follow spec
7387	closed	2014-12-08	Documentation,FrozenDueToAge	spec: clarify spec about what is considered a "function call" with respect to the rules for len/cap
7404	closed	2014-12-08	Documentation,FrozenDueToAge	spec: clarify switch stements w/o switch expression
7444	closed	2014-12-08	Documentation,FrozenDueToAge	spec: Minor inconsistency regarding the term "predeclared type"
7551	closed	2014-12-08	FrozenDueToAge	spec: is not explicit that operators apply to named types.
7669	closed	2014-12-08	Documentation,FrozenDueToAge	spec: nits in description of select statement
7785	closed	2014-12-08	FrozenDueToAge	spec: closed channel behaviour clarifications
7834	closed	2014-12-08	Documentation,FrozenDueToAge	spec: scope and re-use of loop variables is not fully specified
7886	closed	2014-12-08	FrozenDueToAge	spec: Interface Types defines embedding as method enumeration, but private methods are treated differently
8007	closed	2014-12-08	FrozenDueToAge	Raw string literals contain carriage returns
8023	closed	2014-12-08	Documentation,FrozenDueToAge	spec: program does not necessary exit when main function returns
8040	closed	2014-12-08	Documentation,FrozenDueToAge	spec: "innermost" for/switch must be limited to current function
8088	closed	2014-12-08	Documentation,FrozenDueToAge	spec: oversight: §Variable declarations points to §Assignments but the relevant text does not match
8107	closed	2014-12-08	Documentation,FrozenDueToAge	spec: clarify defer semantics
8189	closed	2014-12-08	LanguageChange,FrozenDueToAge	spec: comma-ok expressions should return an untyped bool rather than a bool
8485	closed	2014-12-08	FrozenDueToAge	spec: variable initialization order still unclear
