atomics/spin/flag-wait	Corpus/coverage/exec/atomics/spin	spinOnFlag	-	ok	sync,atomics,ints,goroutines,channels,loops,closures,race,nondet	-	membership	the child's load-acquire on the flag orders its plain data read after main's plain write on every terminating path (mem#atomic), so the set is the singleton {42}; the spin's non-terminating schedules are nonterm branches by the declared accounting — no termination is claimed	width=4,sites=200,members=1,nonterm=200,backedge=1
channels/select-multi-ready/observable	Corpus/coverage/exec/channels/select-multi-ready/observable	channelSelectMultiReadyObservable	-	ok	channels,select,make,len,nondet	-	membership	which of the two ready clauses commits is the L2 select latitude (spec: "uniform pseudo-random selection", weakened possibilistically to any entry-ready case): certified set {101 (a-clause), 210 (b-clause)} (members=2); the only consumption site is the L2 pick, bound 2	width=2,members=2,sites=8
goroutines/sched-dependent/first-come	Corpus/coverage/exec/goroutines/sched-dependent	schedFirstCome	-	ok	goroutines,channels,nondet	-	membership	the two senders' commit order onto the cap-2 buffer is scheduler latitude (L1): the certified set is {12, 21} (members=2); width 3 caps the computed bounds (|runnable| <= 3). ENGINE=DEDUP since the POR slice 2026-08-21: the claim is no longer about a bounded DFS tree but about the whole state graph — 98,664 nodes / 114,247 edges, closed and CHECKER-ACCEPTED, so the set is theorem-backed EQUAL to SlowObs (checkCertM_slowObs) rather than accountant/sentinel/ladder-guarded; ≈1.35 s in the fast lane, so tier=slow is DROPPED. (Superseded, kept for the record: the stage-C B1-boundary DFS tree was ~3.07M leaves, depth 26, ~84.8M steps+probes and could only be certified as tier=slow.)	width=3,sites=40,work=2000000,members=2,engine=dedup
goroutines/sched-dependent/select-default-handshake	Corpus/coverage/exec/goroutines/sched-dependent	schedSelectDefaultHandshake	-	ok	goroutines,channels,select,default,nondet	-	membership	whether the worker is parked at its send when main's select decides is L1 latitude: certified set {7 (communication; gc-dominant, 199970/200000), 99 (default)} (members=2); waiter-aware readiness makes 7 reachable; width 2 caps the two-goroutine bounds	width=2,sites=24,members=2
goroutines/sched-dependent/len-handoff	Corpus/coverage/exec/goroutines/sched-dependent	schedLenHandoff	-	ok	goroutines,channels,len,make,nondet	-	membership	whether the receiver is parked when the buffered send arrives is L1 latitude: parked -> gc direct handoff (len 0, result 100), unparked -> buffered transit (len 1, result 110); certified set {100, 110} (members=2); width 2 caps the two-goroutine bounds	width=2,sites=24,members=2
goroutines/sched-dependent/waiter-pick	Corpus/coverage/exec/goroutines/sched-dependent	schedWaiterPick	-	ok	goroutines,channels,nondet	-	membership	which of TWO parked senders pairs with main's arriving receive is the L4 waiter-pick latitude (spec has no text on waiter order; gc's FIFO wakeup is one legal point) on both-parked branches, L1 arrival timing otherwise: certified set {12, 21} (members=2); width 3 caps the computed bounds (|runnable| <= 3, L4 <= 2); the certified tree consuming L4 above width 1 OBSERVABLY (slice-6 review; audit F3 corrected the 'only tree' claim — first-come's done channel already consumed width-2 L4 picks inertly)	width=3,sites=28,work=500000,members=2
goroutines/select-arrival-multi	Corpus/coverage/exec/goroutines/select-arrival-multi	selectArrivalMulti	-	ok	goroutines,channels,select,nondet	-	membership	which parked sender's clause the arriving select commits is L1 latitude (which worker parked / arrives first) plus the L2 clause pick on both-parked schedules: certified set {10, 20} (members=2); width 3 caps the computed bounds (|runnable| <= 3, L2 <= 2)	width=3,sites=24,members=2
goroutines/select-wake-close-selsel	Corpus/coverage/exec/goroutines/select-wake-close-selsel	selectWakeCloseSelsel	-	ok	goroutines,channels,select,close,nondet	-	membership	one close waking a width-2 same-channel select does NOT determine the committed clause (the C7 falsified-wording corner): certified set {1, 2} (members=2) — wake head-commit yields 1, the always-realizable close-before-entry schedule + entry L2 draw yields 2; gc exhibits both (~half each, 200-run-per-config probe counts)	width=2,sites=24,members=2
goroutines/select-wake-multi	Corpus/coverage/exec/goroutines/select-wake-multi	selectWakeMulti	-	ok	goroutines,channels,select,close,nondet	-	membership	which clause a close-woken select commits is L1 wake-timing latitude plus the L2 entry pick on worker-first schedules: certified set {1, 2} (members=2); width 2 caps the computed bounds (scheduler <= 2, L2 <= 2)	width=2,sites=24,members=2
goroutines/send-then-spin	Corpus/coverage/exec/goroutines/send-then-spin	sendThenSpin	-	ok	goroutines,channels,loops,nondet	-	membership	THE WEDGE ROW (register #1 discharge): gc's completing execution (42, exit 0; 60/60 observed) is an enumerated member — pre-B1 it was outside the envelope on every stream (the definitional bug); the always-spin schedules stay in the envelope by right (dossier §3.1/§4.3) and are counted as nonterm branches, never members; membership = oracle ∈ TERMINATING set {42} (members=1 under the declared nonterm accounting)	width=4,sites=200,members=1,nonterm=200,backedge=1
goroutines/wake-then-abort	Corpus/coverage/exec/goroutines/wake-then-abort	wakeThenAbort	-	ok	goroutines,channels,panic,nondet	-	membership	partner progress between wake and abort is B1 postOp + L5 exit-window latitude: certified set {panic "worker abort in the private segment", 42} (members=2, statuses=ok+panic); pre-B1 the panic member was the sole member on every stream — the U-1 class row	width=4,members=2,statuses=ok+panic,sites=16
goroutines/wake-window/buffered-send	Corpus/coverage/exec/goroutines/wake-window	bufSendWakeThenExit	-	ok	goroutines,channels,nondet	-	membership	the ok/panic split is the main-exit window pick: exit-now discards the woken receiver, any continue schedule reaches its panic; window bound 2, scheduler bound 2	width=4,members=2,statuses=ok+panic,sites=32
goroutines/wake-window/close-recv	Corpus/coverage/exec/goroutines/wake-window	closeWakeReceiverThenExit	-	ok	goroutines,channels,close,nondet	-	membership	same window at the close-wake boundary (TSan-green: recv is acquire-only at the chan object); ok = exit-now, panic = the woken receiver runs	width=4,members=2,statuses=ok+panic,sites=32
imported-goose/channel/google-search	Corpus/coverage/exec/imported-goose/channel/google-search	goleanGoogle	-	ok	imported_goose,channels,goroutines,nondet	-	membership	the three worker sends commit into the cap-3 buffer in scheduler order (L1): the arrival-order code ranges over the 6 permutations of {1,2,3} (members=6); width 4 covers the up-to-4-runnable scheduler bound; no append spill (the results slice is pre-capped at 3); sites raised for the 4-thread tree	width=4,sites=48,work=60000000,members=6,engine=dedup,tier=slow
maps/added-entry-count	Corpus/coverage/exec/maps/added-entry-count	mapAddedEntryCount	-	ok	maps,range,evaluation_order,nondet	-	membership	the raw created-entry produce-or-skip observable (the strict sibling added-entries-bound normalizes it away): admitted set {1,2} under the ruled full-literal envelope — key 1 is a mandatory never-removed start key, entry 2 is created exactly once and may be produced or skipped. RED under the snapshot machine (enumerated set is the singleton {1} — the dead narrowing made visible); flips green at the (L) surgery. Width bound: pick-next is live candidates + stop, at most 2+1 — width 16 >= 3	width=16,sites=8
maps/cross-goroutine-delete-readd/drf	Corpus/coverage/exec/maps/cross-goroutine-delete-readd	crossGoroutineDeleteReAdd	-	ok	maps,delete,range,goroutines,channels,nondet	-	membership	the handshake-ordered cross-goroutine delete+re-create of the first-produced key makes it a NEW entry: admitted set {3 (skipped), 4 (produced again)} (members=2); consumption sites are the map pick-next (bound live candidates + stop <= 4) and the L1/postOp scheduler picks (|runnable| <= 2) — width 4 covers both; gc's plain-shape sample is 3 (never 4 in 160k trials), the insert row is where gc exhibits the re-production member	width=4,sites=32,members=2,backedge=full,work=2000000
