# GoLean native-frontend full-corpus differential baseline
# recorded: 2026-08-19 (bug-fix arc slice 2, step 1 — THE BUG-057 EDGE
#   ENUMERATION, red/green recorded BEFORE any fix)
#   commit: this commit (on 740f09f8, the BUG-058 fix)
#   re-pin reason: 46 NEW ids and NOTHING ELSE. The new package
#   Corpus/coverage/exec/spec-examples-decl/var-comma-ok-matrix walks
#   the full BUG-057 matrix — three comma-ok sources (receive, map
#   index, type assertion) x untyped/typed declaration x blank in the
#   value position / blank in the ok position / neither x
#   function-local / package-level — plus the positions the
#   declaration can occupy (function literal, grouped multi-spec
#   declaration, goto-restructured body, interface-valued map), the
#   shadow-capture shape, the three interface-TYPED forms, and the
#   adjacent tuple-call declaration. These are the DEFECTIVE emitter's
#   colours: the fix commit's flips are a prediction this record lets
#   the next run confirm, not a story told afterwards.
#   Every new row observes a TRUE ok (a false ok cannot distinguish
#   delivery from drop) and returns value and ok as SEPARATE
#   observables (closing F-10, where `x && ok` collapsed the two
#   deliveries into one bit).
#   Breakdown of the 46:
#     22 PASS — the 18 pkg-* rows (package-level is correct for every
#        source, typedness and blank position; the $pkginit path
#        fabricates one AssignStmt per multi-value spec and runs
#        emitAssign) and the 4 local *-blank-ok rows, which observe the
#        VALUE half only and were never wrong.
#     11 FAIL/differential — the silent drop: recv-untyped,
#        recv-untyped-blank-value, recv-typed, recv-typed-blank-value,
#        index-untyped, index-untyped-blank-value, index-typed,
#        index-typed-blank-value, func-literal, grouped-spec,
#        after-goto. All 11 join BUG-057's Cases: list in this commit.
#     13 FAIL/frontend-export — fail-closed, NOT wrong answers: the six
#        local type-assertion rows ("type assert form outside a
#        2-target assignment"), {recv,index,assert}-typed-iface and
#        iface-value ("implicit interface conversion in multi-value
#        assignment"), shadow-capture and tuple-call-{untyped,typed}
#        ("type *types.Tuple").
#   ZERO drift on the 2103 pre-existing rows — no PASS<->FAIL flip, no
#   stage change, no dropped id.
#   Full run: 2149 cases (1992 PASS / 157 FAIL), native frontend.
#
result	id	stage
PASS	arrays/array-bounds	-
PASS	arrays/array-comparable	-
PASS	arrays/array-copy	-
PASS	arrays/array-element-compound	-
PASS	arrays/array-len-cap	-
PASS	arrays/array-of-struct-field-write	-
PASS	arrays/array-param-return	-
PASS	arrays/array-slice-alias	-
PASS	arrays/array-zero	-
PASS	arrays/arrays	-
PASS	arrays/arrays-are-values	-
PASS	arrays/defined-array-receiver	-
PASS	arrays/index-eval-order	-
PASS	arrays/keyed-literal-eval-order	-
PASS	arrays/keyed-literal-sparse	-
PASS	arrays/nested-arrays	-
PASS	arrays/nested-copy-value	-
PASS	arrays/nil-pointer-len-cap	-
FAIL	arrays/pointer-array	lean-observation
PASS	assign-order/conversion-call-eval-once/assign	-
PASS	assign-order/conversion-call-eval-once/define	-
PASS	assign-order/target-check-vs-rhs/index-target	-
PASS	assign-order/target-check-vs-rhs/nil-deref-target	-
PASS	assign-order/target-check-vs-rhs/nil-field-target	-
PASS	binop-order/operand-panic-vs-call/call-before-left	-
PASS	binop-order/operand-panic-vs-call/call-before-left-div	-
PASS	binop-order/operand-panic-vs-call/left-first	-
PASS	bools/generic-type-set/and-or	-
PASS	bools/generic-type-set/equality	-
PASS	bools/generic-type-set/inference	-
PASS	bools/generic-type-set/not-defined	-
PASS	bools/generic-type-set/zero-value	-
PASS	bools/left-to-right	-
PASS	bools/logical-ops	-
PASS	bools/short-circuit-and	-
PASS	bools/short-circuit-call-operand	-
PASS	bools/short-circuit-effects/assign-both	-
PASS	bools/short-circuit-effects/assign-left-false	-
PASS	bools/short-circuit-effects/count-both	-
PASS	bools/short-circuit-effects/count-left-decides	-
PASS	bools/short-circuit-effects/count-left-false	-
PASS	bools/short-circuit-effects/count-right-false	-
PASS	bools/short-circuit-effects/loop-left-zero	-
PASS	bools/short-circuit-effects/loop-right-zero	-
PASS	bools/short-circuit-effects/loop-three	-
PASS	bools/short-circuit-effects/nested-all-false	-
PASS	bools/short-circuit-effects/nested-inner-left	-
