# id	subject	args	expected_status	expected_reason	features	lane	why	params
# 2026-08-21 POR slice: sb-chan -> engine=dedup — the stage-C
# honest-red is CERTIFIED again (350k nodes, ~5.7 s, set {1,10,11}
# theorem-backed equal to SlowObs; docs/2026-08-21_w32-por-design.md).
# 2026-08-20 W3.2 slice 1 stage C (B1 post-op boundaries): the widened
# machine branches at every registry-op COMPLETION, so enumeration
# trees grew; sites/work caps re-measured per row (sets unchanged
# unless stated). Record: docs/w32-log.md stage C.
# LITMUS PAIRS (slice 3, validation note lane e; lanes upgraded at
# slice 4): channel-synchronized forms admit exactly the SC outcomes —
# the CONFLUENT lane certifies |set|=1 over ALL schedules and then runs
# the full-strength strict differential (each green case pins one
# go_mem happens-before edge in the detector: a missing edge would fire
# a false raceDetected on some schedule and break the singleton);
# racy shared-variable forms are lane=racy — EVERY enumerated path
# refuses, `go run -race` red as the justifying oracle.
mp-sync	litmusMPSync	-	ok	-	goroutines,channels,race	confluent	the child's write is ordered before main's read by the flag send/recv edge on every schedule, so the stale read is unreachable and 42 is the only member	width=4
mp-racy	litmusMPRacy	-	race	-	goroutines,channels,race	racy	-	width=4
lb-racy	litmusLBRacy	-	race	-	goroutines,channels,race	racy	-	width=4
close-hb	litmusCloseHB	-	ok	-	goroutines,channels,close,race	confluent	main can only proceed past its receive after the close, whose HB edge orders the child's write before main's read on every schedule — 9 is the only member	width=4
chan-mutex	litmusChanMutex	-	ok	-	goroutines,channels,race	confluent	the cap-1 channel's k/k+C edge serializes the two increments on every schedule (the counting-semaphore idiom), so 2 is the only member	width=4,sites=20
# CERTIFIED at slice 4 (formerly the sb-chan RED PIN): the SB shape's
# admitted set is {1, 10, 11} with 00 SC-FORBIDDEN (r1 = 0 puts T1's
# poll before T2's publish, hence T1's publish before T2's poll,
# forcing r2 = 1) — the DRF-SC boundary pinned executably. The
# enumerator certifies the set over ALL schedules; members=3 pins its
# cardinality, so 00 cannot appear without failing the case. Width 3
# caps the computed bounds (|runnable| <= 3); measured tree: ~30k
# leaves, depth 14, ~1.3M steps+probes.
sb-chan	litmusSBChan	-	ok	-	goroutines,channels,select,default,race,nondet	membership	the two publish/poll goroutines' commit order is L1 latitude: admitted set {1, 10, 11}, 00 SC-forbidden — certified by schedule enumeration with the members=3 cardinality pin; go samples (plain and -race) must be members	width=3,sites=32,work=5000000,members=3,engine=dedup
