class	entry	detail
count	source-through	13 (uncapped)
count	substitution	5 (uncapped; each names its upstream twin)
count	overlay	5 / cap 12 (expr sites, stdlib-overlay.tsv; byte-checked at every load)
count	overlay-import	5 / cap 8 (consequential import neutralizations of overlaid files; no semantics; own cap, [AGENT]-provisional pending [USER])
count	intercept	0 (library members whose direct call the frontend lowers to a machine op or a retained desugar instead of the library body — stdlibreach.go frontendInterceptedLibraryMembers, one predicate for reach walk and emitter)
count	primitive	2 / cap 2
count	shim	6 (frozen, D-002; retired by rows of memo §3)
count	shadow-type	5
count	init-callee	3 (H-11 pureUnmodeledCallees: unmodeled stdlib functions a package-level initializer may call and still be SKIPPED with its vars poisoned; each row states result-only + panic-free over the admitted argument shapes; a row is an admission, not a model)
source-through	bytes	slice-2 target (Equal retired from shim; Buffer retired from the E5-T shadow model — pure Go, its growth idiom `append([]byte(nil), make([]byte, c)...)` is the overlay's model); ReadFrom/WriteTo reach `io` (export data only) and quarantine by name; init-pure: three errors.New sentinels + the asciiSpace table
source-through	cmp	slice-2 target; Compare is the REAL generic at EVERY type argument since 2026-09-04 (lane fr24: the retained integer/string kind-dispatch desugar RETIRED per the [USER] ruling «(2) … an honest red», relayed — a function-local defined type argument now refuses at mono.go's C6 naming rule, rows slices/sortfunc-cmp/cmp-compare-kinds + stdlib-source/cmp-compare/local-float-type on FR-19's line; NaN arm included); pure, no imports; init-pure: no package-level state
source-through	encoding/binary	slice-2 target (LittleEndian.Uint64/PutUint64 retired from the package-variable method desugar — the exported vars and their unexported receiver types lower as ordinary library declarations); Read/Write/Size are reflect and refuse by name (export data); init-pure: two errors.New sentinels, zero-valued ByteOrder vars, a sync.Map (structSize, dataSize's cache) reached whenever Write/Read/Size is — its TYPE does not lower, so the var is POISONED per declaration (`$poisoned` cell; dataSize and every reader an H-3 stub naming the var, its type and the cause — ledger FR-24, PARTIALLY CLOSED 2026-09-04, lane fr24; the init-pure claim itself holds: the var has no initializer)
source-through	errors	errors.New (slice 2: the user-facing SHIM retired — every errors.New is the real *errors.errorString), Join (its unsafe.String OVERLAID), Unwrap; Is/As reach internal/reflectlite and refuse by name (FR-21 → G6)
source-through	internal/bytealg	the byte-search leaves strings.Index/Count/Split reach; assembly on amd64, swapped for the package's own *_generic.go twins by stdlib-substitutions.tsv; MakeNoZero (body-less) is overlaid away at its one strings caller
source-through	internal/strconv	strconv's implementation package; pure Go except deps.go's four float-bits casts — a bit reinterpretation the language has no operation for and the machine has no op for (a PRIMITIVE admission, [USER]-gated; NOT overlaid in slice 2): FormatFloat/ParseFloat/AppendFloat quarantine by name (FR-21 row stdlib-source/frontier/format-float-unsafe)
source-through	internal/stringslite	strings/strconv's shared Index/Cut/Clone helpers; Clone's unsafe.String is OVERLAID to string(b) (slice 2, byte-checked)
source-through	math/bits	internal/strconv's formatBits uses bits.TrailingZeros, strings.Repeat uses bits.Mul, slices uses bits.Len; pure except the two runtime-linknamed error VALUES (poisoned by the linkname rule)
source-through	slices	slice-2 target (SortFunc retired from the generic desugar — pdqsortCmpFunc stenciled per element type by mono.go, gc's exact member incl. tie order); Sort is the real generic too since memo §3 row M landed 2026-09-04 (lane fr4-rowm: the sortSlice MACHINE OP intercept retired — pdqsortOrdered stenciled per element type at EVERY ordered kind, NaN-first at floats; the intercept class is empty); Insert/Replace reach `overlaps` (unsafe.Sizeof/pointer arithmetic) and refuse by name — REFUSED, not overlaid (FR-21 row stdlib-source/frontier/slices-overlaps); iter-typed members are unreached unless called; init-pure: no package-level initializers
source-through	strconv	slice-1 target (FormatUint, FormatInt, ParseUint retired from shims); thin wrappers over internal/strconv; the Parse* ERROR paths reach internal/stringslite.Clone, OVERLAID in slice 2 (BUG-089's nine designed reds closed)
source-through	strings	slice-1 target (Fields, TrimSpace, Split retired from shims); slice 2: Join, Repeat and the Builder TYPE retired from shim/shadow model — Builder's three unsafe sites (String, copyCheck's NoEscape, grow's MakeNoZero) are OVERLAID (stdlib-overlay.tsv); pure Go at function granularity given the bytealg substitution
source-through	unicode	unicode.IsSpace and its White_Space RangeTable (strings.Fields/TrimSpace's non-ASCII path); pure tables, reached ones only
source-through	unicode/utf8	rune decoding used by strings' non-ASCII paths and explode; pure
substitution	internal/bytealg/indexbyte_native.go -> indexbyte_generic.go	IndexByte/IndexByteString are assembly on amd64 (indexbyte_amd64.s); the generic twin is the same package's portable implementation
substitution	internal/bytealg/index_native.go -> index_generic.go	Index/IndexString are assembly on amd64 (index_amd64.s). The generic twin's Index/IndexString/Cutover bodies are `panic("unimplemented")` placeholders (NOT implementations — the frontend quarantines such bodies by name, emit.go isUnimplementedPanicBody) and it declares `const MaxBruteForce = 0`; together with MaxLen == 0 (next row) every call site is DEAD: internal/stringslite/strings.go:42 (`n <= bytealg.MaxLen` false for n >= 2) and strings/strings.go:128,167,177 (same guard) never reach them, so strings.Index/Count/Split run the pure IndexByte + Rabin-Karp paths — the exact code gc compiles for the arches without an assembly Index
substitution	internal/bytealg/index_amd64.go -> index_generic.go	the amd64 file's init() sets MaxLen from CPU features (internal/cpu, AVX2: 63 or 31) — a machine-specific value. Dropping it leaves `var MaxLen int` (bytealg.go) at its ZERO value — index_generic.go declares NO init() — which is what makes the previous row's placeholder bodies unreachable and selects the portable brute-force/Rabin-Karp search path; the substitution does not add an init, it removes one (the register records this init difference)
substitution	internal/bytealg/count_native.go -> count_generic.go	Count/CountString are assembly on amd64 (count_amd64.s); the generic twin is the same package's portable implementation
substitution	internal/bytealg/compare_native.go -> compare_generic.go	Compare is assembly on amd64 (compare_amd64.s) and CompareString pulls runtime.cmpstring by linkname; the generic twin is pure Go (its own runtime_cmpstring linkname push is a body-less-free definition)
overlay	internal/stringslite/strings.go:149	`unsafe.String(&b[0], len(b))` -> `string(b)` — Clone: `b` is a fresh local `make([]byte, len(s))` filled by `copy` and RETURNED through this expression — nothing holds `b` afterwards (the only later reference is this return), so the aliasing `unsafe.String` avoids one copy and nothing else; `string(b)` yields the identical bytes. `len(s) == 0` is handled above the site, so `&b[0]` never indexes an empty slice. Reached by every strconv Parse* error path (syntaxError/rangeError/baseError/bitSizeError) — closes BUG-089's nine designed reds. godoc:strings.Clone@go1.26.5 is the idiom's exported twin.
overlay	errors/join.go:58	`unsafe.String(&b[0], len(b))` -> `string(b)` — joinError.Error: `b` is a local `[]byte` built by `append`s from the elements' Error() texts and RETURNED through this expression; no later reference exists, so the aliasing is unobservable and `string(b)` is byte-identical. `len(e.errs) >= 2` on this path (the single-element case returns above), so `b` has at least one byte ('\n') — `&b[0]` is in range, as the upstream comment on the preceding line states.
overlay	strings/builder.go:47	`unsafe.String(unsafe.SliceData(b.buf), len(b.buf))` -> `string(b.buf)` — Builder.String: upstream ALIASES buf's backing array as the returned string; `string(b.buf)` copies the same len(b.buf) bytes. The alias is observable only if a byte in [0, len(b.buf)) is later overwritten — and no Builder method ever writes below the current len: Write/WriteByte/WriteRune/WriteString only `append` (writes at index >= len at that moment, possibly into spare capacity the returned string does not cover), grow copies into a NEW array, Reset drops buf; `buf` is unexported, so no user code reaches it. Hence every string String() ever returned keeps its bytes under both bodies. nil buf: unsafe.String(nil, 0) == "" == string([]byte(nil)). Premise (no write below len) verified over every method of builder.go at the pin.
overlay	strings/builder.go:39	`(*Builder)(abi.NoEscape(unsafe.Pointer(b)))` -> `b` — Builder.copyCheck: abi.NoEscape is the IDENTITY on the pointer value (paraphrasing internal/abi/escape.go at the pin: the body converts p to uintptr, XORs with 0 and converts back) whose only purpose is to hide `b` from gc's escape analysis (issue 23382); escape analysis has no semantics in the machine (no stack/heap distinction is observable), so `b.addr = b` is the same store. The copy check that follows (`b.addr != b` panics) compares the stored pointer, which is identical.
overlay	strings/builder.go:67	`bytealg.MakeNoZero(2*cap(b.buf) + n)` -> `append([]byte(nil), make([]byte, 2*cap(b.buf)+n)...)` — Builder.grow: MakeNoZero(n) is a runtime-implemented leaf (body-less; runtime/slice.go bytealg_MakeNoZero) whose DOCUMENTED contract is "a slice of length n and capacity of AT LEAST n bytes" with unspecified contents. The substitute is the same contract in the language: `make` gives len n zeroed, and the spilling `append` gives a capacity the spec leaves to the implementation ("sufficiently large", spec#Appending_and_copying_slices) — the machine's R2 append-spill CHOICE envelope [newLen, max(32, 2*growth)], which contains gc's size-class rounding for every n: below 32 bytes the floor 32 covers every class; above, the worst size-class step is 48/33 = 1.45 and the page-rounding regime (> 32 KiB) at most 1.25, both < 2 (latitude inventory R2; membership rows stdlib-source/builder-cap/*). Contents: the result is immediately resliced to [:len(b.buf)] and `copy` fills exactly that prefix; bytes beyond len are written by a later `append` before any method can read them (String/Len read only [0,len)), so zeroed-vs-uninitialized is unobservable. The same idiom is upstream's own in bytes/buffer.go growSlice (`append([]byte(nil), make([]byte, c)...)`).
overlay-import	internal/stringslite/strings.go:13	`"unsafe"` -> `_ "unsafe"` — consequential: the file's only `unsafe.` use is the line-149 site; go/types refuses an unused import.
overlay-import	errors/join.go:8	`"unsafe"` -> `_ "unsafe"` — consequential: the file's only `unsafe.` use is the line-58 site.
overlay-import	strings/builder.go:8	`"internal/abi"` -> `_ "internal/abi"` — consequential: the file's only `abi.` use is the line-39 site.
overlay-import	strings/builder.go:9	`"internal/bytealg"` -> `_ "internal/bytealg"` — consequential: the file's only `bytealg.` use is the line-67 site.
overlay-import	strings/builder.go:11	`"unsafe"` -> `_ "unsafe"` — consequential: the file's `unsafe.` uses are the line-39 and line-47 sites.
