# spec <pre>-block inventory — the P3 denominator (campaign 4.2)
# regenerated by scripts/extract-spec-examples from deps/go @ c19862e5f841
# blocks: 326 total; by AUTO class: contains-illegal=35, decl-fragment=95, ebnf=62, grammar=28, non-code=42, program=1, stmt-expr-fragment=37, token-examples=26
# classes ebnf/grammar/non-code are excluded from the runnable
# denominator BY CLASS with the reason in the script header —
# never silently (SpecTec pass=0,0 pattern). CURATION STATUS
# lives in docs/spec-archaeology/spec-examples-dispositions.tsv
# (SKIPs and handovers exist ONLY there) plus the corpus itself,
# keyed by block_id. KNOWN AUTO-CLASS MISFILES (P3 audit F5),
# corrected in the dispositions, not here (this file is
# regenerated): Goto_statements-3/-4 are negative material
# classed stmt-expr-fragment; Selectors-4 is negative material
# classed token-examples; For_clause-5 is an output exhibit
# classed token-examples.
block_id	anchor	class	lines	curated	note
Notation-1-674a3f23	Notation	grammar	8	-	-
Notation-2-21e06162	Notation	grammar	4	-	-
Characters-1-24b757c5	Characters	ebnf	4	-	-
Letters_and_digits-1-432fc9a8	Letters_and_digits	ebnf	5	-	-
Identifiers-1-b784a309	Identifiers	ebnf	1	-	-
Identifiers-2-b38494c4	Identifiers	token-examples	4	-	-
Keywords-1-0be746de	Keywords	grammar	5	-	-
Operators_and_punctuation-1-f69a9fe2	Operators_and_punctuation	grammar	6	-	-
Integer_literals-1-f3adac5e	Integer_literals	ebnf	9	-	-
Integer_literals-2-919e22f8	Integer_literals	contains-illegal	15	-	-
Floating-point_literals-1-a3a5d4dd	Floating-point_literals	ebnf	10	-	-
Floating-point_literals-2-152a0d95	Floating-point_literals	contains-illegal	25	-	-
Imaginary_literals-1-370092c3	Imaginary_literals	ebnf	1	-	-
Imaginary_literals-2-b6efe7cf	Imaginary_literals	token-examples	12	-	-
Rune_literals-1-6c25425b	Rune_literals	grammar	10	-	-
Rune_literals-2-bd16f905	Rune_literals	ebnf	9	-	-
Rune_literals-3-57f8f4f9	Rune_literals	contains-illegal	19	-	-
String_literals-1-524b597c	String_literals	ebnf	3	-	-
String_literals-2-d7b1cc56	String_literals	contains-illegal	11	-	-
String_literals-3-01d5cea4	String_literals	token-examples	5	-	-
Variables-1-60262a8d	Variables	decl-fragment	4	-	-
Types-1-f0c62b6f	Types	ebnf	6	-	-
Numeric_types-1-23dcb878	Numeric_types	grammar	14	-	-
Numeric_types-2-73df4dc0	Numeric_types	grammar	3	-	-
Array_types-1-fa292533	Array_types	ebnf	3	-	-
Array_types-2-2ee6162a	Array_types	non-code	5	-	-
Array_types-3-e776b27a	Array_types	contains-illegal	13	-	-
Slice_types-1-efd2f108	Slice_types	ebnf	1	-	-
Slice_types-2-a45aa59f	Slice_types	non-code	1	-	-
Slice_types-3-33fb998f	Slice_types	non-code	2	-	-
