# detector-soundness PROBE manifest (scripts/detector-soundness --manifest); same 10 columns as scripts/coverage-manifest output.
# id	go_dir	function	args	expected_status	features	expected_reason	lane	why	params
probe/u2/len-chan-vs-send	docs/evidence/2026-09-02_detector-soundness/probes/u2	u2LenChanVsSend	-	ok	goroutines,channels,len,race	-	probe	U2: len(ch) uninstrumented both sides; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u2/cap-chan-vs-close	docs/evidence/2026-09-02_detector-soundness/probes/u2	u2CapChanVsClose	-	ok	goroutines,channels,close,race	-	probe	U2: cap(ch) uninstrumented both sides; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u2/len-map-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/u2	u2LenMapVsWrite	-	ok	goroutines,channels,maps,len,race	-	probe	U2 control: len(map) recorded; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/u2/len-slice-var-vs-append	docs/evidence/2026-09-02_detector-soundness/probes/u2	u2LenSliceVarVsAppend	-	ok	goroutines,channels,slices,len,race	-	probe	U2: header-variable read vs storeK write; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/u2/len-array-vs-elem-write	docs/evidence/2026-09-02_detector-soundness/probes/u2	u2LenArrayVsElemWrite	-	ok	goroutines,channels,arrays,len,race	-	probe	U2: len(array) is a constant; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u2/len-string-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/u2	u2LenStringVsWrite	-	ok	goroutines,channels,strings,len,race	-	probe	U2: header read vs write; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/u2/cap-slice-var-vs-reslice	docs/evidence/2026-09-02_detector-soundness/probes/u2	u2CapSliceVarVsReslice	-	ok	goroutines,channels,slices,race	-	probe	U2: header read vs write; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/u4/struct-overwrite-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4	u4StructOverwriteVsLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	U4: sync-object word overwritten under a concurrent Lock; expect TSan-red/ours-green	width=4,sites=32,cap=64,work=2000000
probe/u4/wg-overwrite-vs-add	docs/evidence/2026-09-02_detector-soundness/probes/u4	u4WgOverwriteVsAdd	-	ok	sync,waitgroup,goroutines,channels,structs,race	-	probe	U4: WaitGroup words overwritten under Add/Done; expect TSan-red/ours-green	width=4,sites=32,cap=64,work=2000000
probe/u4/rw-overwrite-vs-rlock	docs/evidence/2026-09-02_detector-soundness/probes/u4	u4RwOverwriteVsRLock	-	ok	sync,rwmutex,goroutines,channels,structs,race	-	probe	U4: rw.w read on RLock vs overwrite; expect TSan-red/ours-green	width=4,sites=32,cap=64,work=2000000
probe/u4/once-overwrite-vs-do	docs/evidence/2026-09-02_detector-soundness/probes/u4	u4OnceOverwriteVsDo	-	ok	sync,once,goroutines,channels,structs,closures,race	-	probe	U4: Once words overwritten under Do; expect TSan-red/ours-green	width=4,sites=32,cap=64,work=2000000
probe/u4/disjoint-field-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4	u4DisjointFieldVsLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	U4 control: sibling field write beside Lock; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/u4/struct-copy-vs-lock	docs/evidence/2026-09-02_detector-soundness/probes/u4	u4StructCopyVsLock	-	ok	sync,mutex,goroutines,channels,structs,race	-	probe	U4: copy of a struct holding a held Mutex; expect TSan-red/ours-green	width=4,sites=32,cap=64,work=2000000
probe/u5/cross-unlock-publish	docs/evidence/2026-09-02_detector-soundness/probes/u5	u5CrossUnlockPublish	-	ok	sync,mutex,goroutines,channels,globals,race	-	probe	U5: owner-free unlock lacking HB from the publish; go_mem-DRF, TSan overwrite-Release reports; expect gc RACE / machine DRF	width=4,sites=64,cap=64,work=20000000
probe/u5/handoff-unlock	docs/evidence/2026-09-02_detector-soundness/probes/u5	u5HandoffUnlock	-	ok	sync,mutex,goroutines,channels,globals,race	-	probe	U5 control: handoff edge makes overwrite = merge; expect agree-DRF	width=4,sites=64,cap=64,work=20000000,engine=dedup
probe/footprint/struct-copy-vs-field-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpStructCopyVsFieldWrite	-	ok	goroutines,channels,structs,race	-	probe	F-1 whole-struct copy; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/iface-box-vs-field-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpIfaceBoxVsFieldWrite	-	ok	goroutines,channels,structs,interfaces,race	-	probe	F-2 boxing copy; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/send-struct-vs-field-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpSendStructVsFieldWrite	-	ok	goroutines,channels,structs,race	-	probe	F-3 send operand copy; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/defer-arg-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpDeferArgVsWrite	-	ok	goroutines,channels,defer,closures,race	-	probe	F-4 defer-time argument read; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/method-value-copy-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpMethodValueCopyVsWrite	-	ok	goroutines,channels,methods,structs,race	-	probe	F-5 method value saves the receiver at creation; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/swap-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpSwapVsWrite	-	ok	goroutines,channels,race	-	probe	F-6 tuple swap; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/copy-src-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpCopySrcVsWrite	-	ok	goroutines,channels,slices,race	-	probe	F-7 control copySlice reads; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/append-inplace-vs-reslice	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpAppendInPlaceVsReslice	-	ok	goroutines,channels,slices,race	-	probe	F-8 in-place append write vs reslice read; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/slice-of-array-vs-elem-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpSliceOfArrayVsElemWrite	-	ok	goroutines,channels,arrays,slices,race	-	probe	F-9 a[:] reads no elements; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/footprint/ptr-array-elem-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpPtrArrayElemVsWrite	-	ok	goroutines,channels,arrays,pointers,race	-	probe	F-10 control p[1] element read; expect agree-DRF	width=4,sites=32,cap=64,work=2000000
probe/footprint/array-dyn-index-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpArrayDynIndexVsWrite	1	ok	goroutines,channels,arrays,race	-	probe	F-11 O1 dynamic-index residual (Q-RACEPATH); expect over-refusal by design	width=4,sites=32,cap=64,work=2000000
probe/footprint/array-const-index-field-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpArrayConstIndexFieldVsWrite	-	ok	goroutines,channels,arrays,structs,race	-	probe	F-12 indexGet->fieldGet chain; DRF only with the constant-index narrowing	width=4,sites=32,cap=64,work=2000000
probe/footprint/field-array-const-index-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpFieldArrayConstIndexVsWrite	-	ok	goroutines,channels,arrays,structs,race	-	probe	F-13 fieldGet->indexGet chain; DRF only with the constant-index narrowing	width=4,sites=32,cap=64,work=2000000
probe/footprint/array-const-index-same-elem	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpArrayConstIndexSameElem	-	ok	goroutines,channels,arrays,race	-	probe	F-14 narrowing must keep the same-element race; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/array-const-index-vs-whole-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpArrayConstIndexVsWholeWrite	-	ok	goroutines,channels,arrays,race	-	probe	F-15 prefix overlap with a whole-array write; expect agree-race	width=4,sites=32,cap=64,work=2000000
probe/footprint/range-slice-disjoint-vs-write	docs/evidence/2026-09-02_detector-soundness/probes/footprint	fpRangeSliceDisjointVsWrite	-	ok	goroutines,channels,slices,range,race	-	probe	F-16 disjoint element range; expect agree-DRF	width=4,sites=32,cap=64,work=2000000,backedge=full
