# id	subject	args	expected_status	expected_reason	features
# go-of-nil-func is a runtime FATAL in the spawner ("fatal error: go
# of nil func value", exit 2 — probed 2026-08-07, refuting the
# machine-shape note's child-panic analysis). Pinned via the fatal
# status class (spec-parity slice 2) since the 19-red slice (triage
# L10, 2026-08-19): the old red pin's stated reason — "neither harness
# status class describes a non-panic fatal" — expired when that class
# landed, two days after the pin was written. The machine raises
# GoError.fatal at the spawn, gc's fixed string.
nil-func-fatal	spawnNilFuncFatal	-	fatal	go of nil func value	goroutines,channels,nil,fatal
child-panic-aborts	spawnChildPanicAborts	-	panic	child says no	goroutines,channels,panic	confluent	the child's unrecovered panic aborts the program on every schedule (any-goroutine panic abort, D6)	width=4,sites=8
# RED PIN (frontend gap, found by this guardrail): a BARE `recover()`
# statement has no statement lowering — the frontend quarantines the
# decl with a precise reason (it used to emit an undecodable node that
# took the whole package down — the fail-open is fixed; the lowering
# itself is future work). The recovered-child behavior is green-pinned
# through the value-position form in goroutines/close-wake/*.
child-recovers	spawnChildRecovers	-	ok	-	goroutines,channels,recover
# S2 audit response: the two dispatch classes of a spawn-position
# panic, pinned in both directions (nil INTERFACE -> spawner-side,
# recoverable, realized via the frontend's pre-spawn hoist; nil
# POINTER-BOX auto-deref -> child-side, program abort).
nil-interface-recovered	spawnNilInterfaceRecovered	-	ok	-	goroutines,channels,interfaces,nil,recover
ptr-box-child-aborts	spawnPtrBoxChildAborts	-	panic	runtime error: invalid memory address or nil pointer dereference	goroutines,channels,interfaces,nil,panic	confluent	the child's frame-entry deref panic aborts on every schedule (child-side class, S2 audit)	width=4,sites=8
