# id	subject	args	expected_status	expected_reason	features
# [AGENT] FR-31 / BUG-098: package-correct matching AND distinct promoted bodies.
promoted-bodies	promotedBodies	-	ok	-	multipackage,imports,identity,interfaces,embedding,functions,methods,calls
deep-alias	deepAndAlias	-	ok	-	multipackage,imports,identity,interfaces,embedding,aliases,comma_ok,methods,calls
embedded-interfaces	embeddedInterfaces	-	ok	-	multipackage,imports,identity,interfaces,embedding,functions,methods,calls
pointer-sets	pointerSets	-	ok	-	multipackage,imports,identity,interfaces,embedding,pointers,comma_ok,methods,calls
generic-bodies	genericBodies	-	ok	-	multipackage,imports,identity,interfaces,embedding,generics,closures,methods,calls
unicode	unicodeBodies	-	ok	-	multipackage,imports,identity,interfaces,embedding,unicode,methods,calls
concrete-values	concreteValues	-	ok	-	multipackage,imports,identity,interfaces,functions,methods,calls
constrained-methods	constrainedMethods	-	ok	-	multipackage,imports,identity,interfaces,embedding,generics,functions,methods,calls
# [AGENT] 2026-09-09 audit R1/R9: nil dispatch and mixed Unicode method ordering.
nil-promoted-pointer	nilPromotedPointer	-	panic	runtime error: invalid memory address or nil pointer dereference	multipackage,imports,identity,interfaces,embedding,pointers,nil,methods,calls,panic
nil-private-value	nilPrivateValue	-	panic	pointer	multipackage,imports,identity,interfaces,embedding,pointers,nil,methods,calls,panic,nondet	membership	Audit R1 / BUG-087 R9a: nil *red/inner.NilMix box calls its ordinary private value method beside a different package's same-spelled promoted wrapper. The existing nilValueMethodText envelope admits gc's dereference and autogenerated-wrapper texts; neither lookup nor its independent invariant validator may borrow the other member's wrapper bit.	width=2,sites=8,members=2
missing-method-order	missingMethodOrder	-	panic	interface conversion: main.OnlyZz is not main.Ordered: missing method É	multipackage,imports,identity,interfaces,type_assertions,unicode,methods,panic
